      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621307670.00 2158.00000 184488.00   22 18 54.27235  114 10 06.52684        2.968   0.145   6.234  -0.060  -0.492  -2.132   1.082   0.2269313939  -0.0563102921  -9.8491792871 2
1621307671.00 2158.00000 184489.00   22 18 54.47408  114 10 06.49653        2.931   0.197   6.385  -0.066   1.660   2.527  -0.465   0.0961423180   0.3543400188 -10.1641685646 2
1621307672.00 2158.00000 184490.00   22 18 54.67801  114 10 06.46554        2.908   0.159   6.235  -0.086   1.158  -1.856  -0.493  -0.0692476791   0.3219965513 -10.1669875169 2
1621307673.00 2158.00000 184491.00   22 18 54.87596  114 10 06.43264        2.878   0.158   6.045  -0.065   1.189  -0.100  -0.053  -0.4230663063   0.3816872944 -11.5370613854 2
1621307674.00 2158.00000 184492.00   22 18 55.06689  114 10 06.39584        2.854   0.183   5.869  -0.011  -0.179  -0.850   0.114  -0.0778706939   0.0637415547 -12.6280532414 2
1621307675.00 2158.00000 184493.00   22 18 55.25076  114 10 06.35896        2.817   0.273   5.592  -0.051  -0.091   0.248  -0.018  -0.1238562866   0.5566915233 -12.4326345262 2
1621307676.00 2158.00000 184494.00   22 18 55.42866  114 10 06.32478        2.802   0.184   5.447  -0.001  -0.329   0.417   0.207   0.0055691498   0.0404909274 -11.9394152674 2
1621307677.00 2158.00000 184495.00   22 18 55.60319  114 10 06.29220        2.761   0.167   5.464  -0.018  -0.696  -1.096  -0.332   0.0659760901   0.4528830300 -11.6959483115 2
1621307678.00 2158.00000 184496.00   22 18 55.77600  114 10 06.25869        2.757   0.192   5.291  -0.024  -0.813  -0.299  -0.540   0.1902277176  -0.1577123627 -11.8923353254 2
1621307679.00 2158.00000 184497.00   22 18 55.94301  114 10 06.22667        2.746   0.186   5.193  -0.022   0.361   0.138   0.017   0.5027933835   0.4726156965 -12.0217321139 2
1621307680.00 2158.00000 184498.00   22 18 56.11049  114 10 06.19387        2.755   0.186   5.278  -0.011   0.089   0.116   0.618   0.7339933130   0.3676383692 -12.1139382118 2
1621307681.00 2158.00000 184499.00   22 18 56.28077  114 10 06.15998        2.763   0.165   5.416  -0.034  -0.399  -1.470   0.126   0.6929179687   0.7353340343 -12.2875616125 2
1621307682.00 2158.00000 184500.00   22 18 56.45677  114 10 06.12448        2.783   0.189   5.558  -0.061  -0.616  -0.181   0.646   0.9786462916   0.7828379651 -12.4161046938 2
1621307683.00 2158.00000 184501.00   22 18 56.63764  114 10 06.08635        2.835   0.141   5.659  -0.012   0.168   0.503   1.005   0.5497415453   0.7689380090 -12.5350679208 2
1621307684.00 2158.00000 184502.00   22 18 56.82223  114 10 06.04640        2.875   0.190   5.776  -0.039   0.082   0.814   0.108   0.0659760901   0.4427416770 -12.8941348415 2
1621307685.00 2158.00000 184503.00   22 18 57.00466  114 10 06.00652        2.899   0.226   5.623  -0.013   0.689  -0.139   0.070   0.2187380974   0.2353939806 -13.0543682184 2
1621307686.00 2158.00000 184504.00   22 18 57.18387  114 10 05.97125        2.877   0.296   5.495  -0.116   0.944   0.951   0.630   1.7773895650   0.0511708607 -12.6205761422 3
1621307687.00 2158.00000 184505.00   22 18 57.36052  114 10 05.93617        2.869   0.269   5.377  -0.039   0.471   0.527  -0.065   2.1959581527   0.1764251643 -12.8515526181 3
1621307688.00 2158.00000 184506.00   22 18 57.51640  114 10 05.90404        2.878   0.211   4.315  -0.069  -0.478  -1.729  -0.353   2.4017588631   0.6331985777 -13.3310839152 3
1621307689.00 2158.00000 184507.00   22 18 57.64679  114 10 05.87567        2.917   0.174   3.886   0.082  -0.683   0.683   0.780   2.7952089810   0.1257012107 -13.6752825810 3
1621307690.00 2158.00000 184508.00   22 18 57.76564  114 10 05.84742        2.957   0.203   3.576   0.036  -0.577   0.358   0.332   2.6166753321   0.5822511706 -14.1150448775 3
1621307691.00 2158.00000 184509.00   22 18 57.87433  114 10 05.82035        3.042   0.150   3.230   0.009   0.520  -0.279   0.264   2.6958122627   0.5066952261 -14.2242907403 2
1621307692.00 2158.00000 184510.00   22 18 57.97875  114 10 05.79651        3.101   0.138   3.212   0.013  -0.537  -0.764   0.510   2.3964647331   0.2361273665 -14.2329366735 2
1621307693.00 2158.00000 184511.00   22 18 58.07755  114 10 05.77299        3.151   0.158   3.026   0.037  -0.044   0.470  -0.347   2.2860844138   0.3942407997 -15.8724095676 2
1621307694.00 2158.00000 184512.00   22 18 58.18232  114 10 05.73287        3.211  -0.033   3.735   0.007  -0.155   0.135   0.176   1.9751001114   0.0973970956 -25.5606216804 2
1621307695.00 2158.00000 184513.00   22 18 58.29564  114 10 05.66680        3.256   0.119   4.107  -0.032   0.670   1.392  -0.856  -0.2027697637   0.6492413960 -31.0084247176 2
1621307696.00 2158.00000 184514.00   22 18 58.41251  114 10 05.60180        3.339   0.240   3.945   0.062   2.494  -0.042  -1.287  -1.5486762723   0.7842073342 -27.1930701120 2
1621307697.00 2158.00000 184515.00   22 18 58.52848  114 10 05.55958        3.398   0.315   3.606   0.053   0.084   1.261   1.122  -0.0479966745   0.2486006577 -18.8060795294 2
1621307698.00 2158.00000 184516.00   22 18 58.63753  114 10 05.53707        3.445   0.236   3.158  -0.023  -0.002  -0.046  -0.415   0.6301733606  -0.6540828893 -12.1898493901 2
1621307699.00 2158.00000 184517.00   22 18 58.72876  114 10 05.52292        3.471   0.009   2.360  -0.057   1.453   0.114   1.743  -0.3588721150   0.1437321925 -10.6360508751 2
1621307700.00 2158.00000 184518.00   22 18 58.78963  114 10 05.51466        3.544   0.120   1.432   0.044  -0.215  -1.504  -0.409  -0.9429109139   0.0871411511 -10.6305046436 2
1621307701.00 2158.00000 184519.00   22 18 58.83157  114 10 05.51038        3.618   0.112   1.044   0.040  -0.393  -0.720   0.110  -1.0496987877   0.4102606996 -10.6070477515 2
1621307702.00 2158.00000 184520.00   22 18 58.85870  114 10 05.50859        3.697   0.093   0.701   0.038  -0.074  -0.356  -0.014  -1.2769854155   0.5264164334 -10.5936806461 2
1621307703.00 2158.00000 184521.00   22 18 58.87919  114 10 05.50834        3.776   0.085   0.526   0.044   0.286  -0.276   0.048  -1.0617996564   0.6282424928 -10.5108767856 2
1621307704.00 2158.00000 184522.00   22 18 58.89822  114 10 05.50817        3.856   0.094   0.673   0.034  -0.566   0.037   0.064  -0.8903993319   0.6999023242 -10.4266519897 2
1621307705.00 2158.00000 184523.00   22 18 58.92138  114 10 05.50685        3.937   0.070   0.516   0.033  -0.044  -0.116   0.016  -0.8602502928   0.6655133974 -10.4081454529 2
1621307706.00 2158.00000 184524.00   22 18 58.93520  114 10 05.50673        4.012   0.063   0.424   0.032   0.398   0.142   0.054  -1.0134935847   0.5730838458 -10.4102138305 2
1621307707.00 2158.00000 184525.00   22 18 58.95392  114 10 05.50560        4.080   0.085   0.704   0.029   0.224   0.309  -0.103  -1.1593514506   0.6118272520 -10.4152501296 2
1621307708.00 2158.00000 184526.00   22 18 58.98172  114 10 05.50305        4.148   0.082   0.978   0.025  -0.293   0.332   0.124  -1.0962401494   0.6399709388 -10.3366288609 2
1621307709.00 2158.00000 184527.00   22 18 59.01727  114 10 05.49902        4.218   0.066   1.165   0.016  -0.057   0.228  -0.027  -1.0399642348   0.5911262868 -10.3013633086 2
1621307710.00 2158.00000 184528.00   22 18 59.05652  114 10 05.49386        4.285   0.083   1.219   0.019   0.673   0.267  -0.121  -1.3457002438   0.8853573033 -10.2651409168 2
1621307711.00 2158.00000 184529.00   22 18 59.09607  114 10 05.48885        4.349   0.091   1.194   0.019  -0.466  -0.423  -0.110  -1.3551826954   0.9974794143 -10.2626771983 2
1621307712.00 2158.00000 184530.00   22 18 59.13583  114 10 05.48373        4.416   0.106   1.243   0.018  -0.184  -0.528   0.170  -1.3067906800   0.6202038949 -10.2970833139 2
1621307713.00 2158.00000 184531.00   22 18 59.17727  114 10 05.47816        4.477   0.075   1.261   0.024   0.552   0.009   0.033  -1.2950450452   0.3206271822 -10.3322113563 2
1621307714.00 2158.00000 184532.00   22 18 59.21671  114 10 05.47285        4.531   0.091   1.133   0.013  -0.393  -0.591   0.038  -1.2705109924   0.5046841443 -10.4412853318 2
1621307715.00 2158.00000 184533.00   22 18 59.25139  114 10 05.46864        4.583   0.075   0.934   0.027   0.175  -0.723   0.002  -1.0462667705   0.6498372721 -10.3836572367 2
1621307716.00 2158.00000 184534.00   22 18 59.27538  114 10 05.46607        4.636   0.052   0.547   0.034   0.570   0.056   0.064  -1.0017823273   0.7844766244 -10.3374138131 2
1621307717.00 2158.00000 184535.00   22 18 59.28768  114 10 05.46540        4.683   0.053   0.214   0.035  -0.027   0.065  -0.020  -1.0507014639   0.7664685609 -10.3133094787 2
1621307718.00 2158.00000 184536.00   22 18 59.29752  114 10 05.46517        4.724   0.055   0.373   0.033  -0.440   0.206  -0.064  -1.0637935495   0.8271677097 -10.2959202096 2
1621307719.00 2158.00000 184537.00   22 18 59.31182  114 10 05.46413        4.761   0.058   0.532   0.025   0.611   0.168   0.086  -1.0979819411   0.8690337358 -10.2596004149 2
1621307720.00 2158.00000 184538.00   22 18 59.33070  114 10 05.46253        4.791   0.076   0.531   0.019   0.122  -0.296  -0.075  -0.9680752202   0.8443564435 -10.1703278609 2
1621307721.00 2158.00000 184539.00   22 18 59.35037  114 10 05.46123        4.819   0.089   0.708   0.023   0.453   0.320   0.160  -0.7971848283   0.9101778350  -9.2956734091 2
1621307722.00 2158.00000 184540.00   22 18 59.37950  114 10 05.46104        4.843   0.137   1.196   0.015  -0.059   1.540   0.227  -0.6662353242   1.1882858192  -4.9269790832 2
1621307723.00 2158.00000 184541.00   22 18 59.43648  114 10 05.46250        4.877   0.090   2.248  -0.001  -0.479   1.131   0.172  -0.0552675089   1.2028102993  -1.8204305659 2
1621307724.00 2158.00000 184542.00   22 18 59.52473  114 10 05.46005        4.912   0.067   3.169   0.002  -0.994   0.775  -0.407   0.1709190399   0.8698931725  -4.9069542083 3
1621307725.00 2158.00000 184543.00   22 18 59.64122  114 10 05.44601        4.933   0.055   4.041  -0.015   0.429   0.678  -0.266   0.3209423089   0.9332107384 -10.1272758121 3
1621307726.00 2158.00000 184544.00   22 18 59.78049  114 10 05.41840        4.958   0.157   4.627  -0.017  -0.046   0.076   0.629   0.1009952705   0.7031624541 -12.7546368071 3
1621307727.00 2158.00000 184545.00   22 18 59.93631  114 10 05.38544        4.983   0.161   5.024  -0.056   0.610   1.933  -2.427  -0.0270894446   0.7852615765 -12.8339800025 3
1621307728.00 2158.00000 184546.00   22 19 00.09427  114 10 05.35205        5.012   0.136   4.798  -0.042  -0.588   0.745   0.713   0.0308766956   0.8666788792 -12.9818546799 3
1621307729.00 2158.00000 184547.00   22 19 00.23717  114 10 05.31976        5.052   0.084   4.083  -0.045   0.029  -0.427  -0.012  -0.2492423705   0.8747747729 -13.7930540558 3
1621307730.00 2158.00000 184548.00   22 19 00.35412  114 10 05.29241        5.090   0.120   3.318   0.008  -0.136  -1.234  -0.897  -0.3444507673   0.8984780369 -13.9237629176 4
1621307731.00 2158.00000 184549.00   22 19 00.44672  114 10 05.27139        5.114   0.101   2.540   0.003   0.023  -0.757  -0.044  -0.4414525220   1.0289347972 -13.6453054292 4
1621307732.00 2158.00000 184550.00   22 19 00.51676  114 10 05.25611        5.132   0.090   1.860   0.000   0.015  -0.595   0.006  -0.3855834074   1.1927090534 -13.4468443081 4
1621307733.00 2158.00000 184551.00   22 19 00.57185  114 10 05.24456        5.144   0.049   1.630   0.014  -0.559   0.568   0.321  -0.4044165301   1.1319755271 -13.1228939707 4
1621307734.00 2158.00000 184552.00   22 19 00.62252  114 10 05.23410        5.148   0.094   1.562   0.007  -0.304  -0.744   0.119  -0.5268060447   0.9727849333 -12.9923971033 3
1621307735.00 2158.00000 184553.00   22 19 00.67054  114 10 05.22436        5.150   0.075   1.465  -0.006   0.549  -0.273  -0.061  -0.6067107388   1.0469256720 -12.9065737552 3
1621307736.00 2158.00000 184554.00   22 19 00.71731  114 10 05.21499        5.145   0.051   1.453   0.014  -0.369  -0.154   0.340  -0.6599385180   1.0877259966 -12.8158229700 4
1621307737.00 2158.00000 184555.00   22 19 00.76357  114 10 05.20582        5.147   0.071   1.448   0.004   0.279   0.655  -0.183  -0.7031509949   1.0220593037 -12.7641937431 3
1621307738.00 2158.00000 184556.00   22 19 00.80948  114 10 05.19674        5.145   0.060   1.438   0.004   0.446   0.198  -0.147  -0.7654830735   1.0330658229 -12.6734486875 3
1621307739.00 2158.00000 184557.00   22 19 00.85451  114 10 05.18815        5.143   0.050   1.403   0.014  -0.504  -0.012  -0.005  -0.6950780196   1.1203731318 -12.4667541629 4
1621307740.00 2158.00000 184558.00   22 19 00.89946  114 10 05.18002        5.136   0.088   1.413   0.015  -0.204  -0.118  -0.148  -0.4148615507   0.9860489063 -12.1897290690 4
1621307741.00 2158.00000 184559.00   22 19 00.94422  114 10 05.17181        5.136   0.059   1.411   0.021  -0.516  -0.491   0.449  -0.4529918920   0.8431016660 -11.9082807408 5
1621307742.00 2158.00000 184560.00   22 19 00.98845  114 10 05.16414        5.129   0.035   1.282   0.015   0.061  -0.728   0.070  -0.3231310077   0.8982030171 -11.6297373087 5
1621307743.00 2158.00000 184561.00   22 19 01.01931  114 10 05.16109        5.121   0.118   0.737   0.012  -0.040   0.632   0.031  -0.3896800556   1.0399241277  -7.7598313914 5
1621307744.00 2158.00000 184562.00   22 19 01.04716  114 10 05.16396        5.112   0.148   0.957   0.026   0.799   0.128   0.013  -0.3084747473   1.1417272688   0.7574960418 4
1621307745.00 2158.00000 184563.00   22 19 01.07695  114 10 05.17145        5.101   0.057   0.834   0.010  -0.120  -0.540  -0.126   0.1676531804   1.0274909436   8.2159454920 5
1621307746.00 2158.00000 184564.00   22 19 01.10355  114 10 05.17722        5.086   0.017   0.888   0.009   0.254  -0.256   0.013   0.4035169864   0.9182851878   7.9727707446 4
1621307747.00 2158.00000 184565.00   22 19 01.13002  114 10 05.17999        5.066  -0.031   0.693   0.022   0.214  -0.725  -0.074   0.4182305426   0.7725018064   3.7311584577 3
